participant,Instrument,play,familiar,vivid,rumbling-low,soft-singing,watery-fluid,direct-loud,nasal-reedy,shrill-noisy,percussive,pure-clear,brassy-metallic,raspy-grainy,ringing-long_decay,sparkling-brilliant,airy-breathy,resonant-vibrant,hollow,woody,muted-veiled,sustained-even,open,focused-compact
41,flute,No,Very familiar,18,1,6,7,2,1,3,1,7,1,1,5,6,7,5,3,1,5,6,6,5
42,flute,No,Very familiar,17,1,6,5,3,1,4,2,5,1,1,1,5,5,5,4,1,4,2,5,1
44,flute,Yes,Extremely familiar,19,1,6,6,4,1,1,1,7,1,1,3,7,5,6,6,5,2,5,6,6
46,flute,Yes,Extremely familiar,19,1,5,1,4,1,4,2,7,3,1,3,6,5,5,4,1,1,6,3,5
51,flute,No,Extremely familiar,18,1,4,5,1,1,1,1,6,1,1,1,2,7,2,6,4,6,6,5,1
53,flute,No,Extremely familiar,19,1,6,5,3,1,1,1,7,1,1,7,7,6,7,1,5,1,7,7,4
57,flute,No,Extremely familiar,19,1,7,5,4,1,5,1,3,2,2,4,6,7,7,4,1,3,4,6,1
59,flute,No,Very familiar,18,1,5,1,5,1,3,2,6,3,1,4,7,7,4,5,4,5,5,1,6
65,flute,No,Extremely familiar,19,1,4,1,3,1,1,1,4,1,1,7,5,6,6,6,1,4,5,6,4
66,flute,No,Extremely familiar,19,1,7,6,6,1,6,5,7,1,1,2,7,6,6,6,1,6,7,7,6
67,flute,No,Extremely familiar,19,1,7,6,1,1,1,1,7,4,3,1,5,7,5,7,1,6,1,1,4
68,flute,No,Extremely familiar,19,1,7,7,5,1,1,1,7,1,1,3,1,7,3,1,7,1,5,7,6
71,flute,No,Very familiar,19,1,4,2,2,2,3,2,3,1,2,3,3,7,5,5,2,4,5,6,2
73,flute,No,Very familiar,18,1,4,4,5,1,4,1,4,2,1,4,6,6,4,2,1,2,5,4,3
74,flute,No,Extremely familiar,19,1,4,6,5,1,1,1,7,5,1,6,7,4,6,1,4,1,7,4,6
75,flute,No,Moderately familiar,17,1,7,6,1,4,3,2,7,6,2,3,7,7,6,5,2,4,5,4,5
78,flute,No,Extremely familiar,19,1,6,5,2,1,5,1,3,1,2,1,6,7,4,6,1,4,5,6,2
79,flute,No,Extremely familiar,19,1,7,2,1,1,1,1,7,1,1,5,7,7,7,3,1,6,7,7,7
84,flute,No,Very familiar,19,1,7,7,1,1,4,1,7,1,1,7,7,7,1,1,1,7,7,7,1
89,flute,Yes,Extremely familiar,19,1,7,4,1,1,2,1,7,1,1,1,6,3,2,2,1,1,7,7,6
91,flute,No,Moderately familiar,17,1,7,7,1,1,1,1,7,1,1,1,6,7,5,6,1,1,5,2,5
93,flute,No,Extremely familiar,19,1,5,6,1,1,3,1,6,5,1,3,7,7,4,4,1,1,5,5,5
94,flute,No,Extremely familiar,19,1,7,1,1,1,1,1,7,5,1,3,7,5,5,6,1,1,1,6,1
97,flute,No,Moderately familiar,16,1,6,4,3,5,6,1,4,2,1,4,2,7,5,6,2,1,4,5,3
98,flute,No,Very familiar,19,1,5,7,5,1,5,1,7,4,1,2,7,7,3,3,1,2,4,3,2
99,flute,No,Extremely familiar,18,1,5,1,6,1,6,2,7,5,1,1,5,7,4,5,1,1,4,6,5
100,flute,Yes,Moderately familiar,16,2,5,5,2,2,4,2,6,2,2,2,3,6,3,4,5,3,6,4,3
101,flute,No,Very familiar,19,1,5,4,1,6,5,1,4,6,1,6,6,6,6,5,3,3,4,6,4
104,flute,No,Very familiar,18,1,7,5,2,2,5,3,6,3,2,3,5,6,4,5,2,3,6,5,6
105,flute,No,Very familiar,18,4,5,6,5,4,4,3,7,1,3,6,5,7,4,4,5,3,6,7,6
106,flute,No,Moderately familiar,18,1,6,5,1,2,1,1,6,3,2,1,6,7,1,1,1,2,4,6,3
108,flute,No,Very familiar,18,3,6,5,4,1,2,1,5,3,3,5,5,7,6,4,4,2,6,6,2
113,flute,No,Extremely familiar,19,1,1,1,2,1,4,1,6,4,1,1,5,6,5,4,1,5,4,6,6
115,flute,No,Extremely familiar,19,1,6,5,2,1,6,1,5,6,1,4,6,7,6,5,1,5,6,6,4
119,flute,No,Extremely familiar,19,1,6,6,1,2,1,1,4,2,1,4,4,6,5,6,4,5,5,5,3
120,flute,Yes,Extremely familiar,18,2,6,6,4,2,4,2,7,3,3,4,7,7,4,4,4,2,4,7,5
122,flute,No,Extremely familiar,19,1,7,6,1,2,5,1,4,2,3,5,5,7,6,7,5,5,7,6,4
127,flute,No,Extremely familiar,19,2,5,5,3,3,4,1,5,2,2,1,4,7,4,3,6,3,5,3,2
140,flute,No,Very familiar,16,1,7,7,1,1,1,1,7,4,1,5,3,5,5,3,1,1,7,7,2
143,flute,No,Very familiar,17,1,6,5,4,2,5,1,5,1,1,1,5,7,6,5,4,5,7,4,4
146,flute,No,Extremely familiar,19,1,5,1,5,5,1,1,6,2,1,2,6,7,4,2,6,1,6,5,5
150,flute,No,Moderately familiar,18,2,7,6,4,5,2,3,7,1,2,5,5,7,6,5,2,3,5,6,3
156,flute,No,Moderately familiar,17,2,3,5,2,2,2,4,4,1,2,2,4,6,3,1,1,3,5,4,4
160,flute,No,Moderately familiar,19,1,6,7,1,2,4,1,5,3,1,4,4,5,4,5,3,6,5,4,2
163,flute,No,Very familiar,18,1,7,3,3,5,4,1,7,2,1,3,7,7,6,5,2,4,5,7,4
164,flute,No,Moderately familiar,18,2,6,5,2,5,3,5,7,3,4,2,5,7,5,7,5,5,5,2,5
166,flute,Yes,Extremely familiar,19,1,6,4,6,1,5,1,7,2,1,6,6,6,6,6,6,5,5,6,5
172,flute,No,Very familiar,17,1,5,2,1,2,2,1,6,1,1,1,5,4,1,1,1,1,2,1,1
173,flute,No,Extremely familiar,19,1,6,5,5,1,6,2,5,5,2,2,6,6,4,3,2,2,3,3,2
174,flute,No,Moderately familiar,16,1,6,1,4,3,6,1,7,1,1,6,7,7,4,6,1,2,3,5,6
175,flute,Yes,Very familiar,18,3,5,5,1,2,1,4,6,2,4,6,3,3,2,4,3,4,6,5,4
176,flute,Yes,Extremely familiar,19,1,7,7,5,3,4,1,7,5,2,5,6,4,6,6,1,2,6,5,4
177,flute,No,Very familiar,19,1,7,7,6,1,5,1,7,1,1,2,7,6,3,7,1,3,7,5,6
180,flute,No,Extremely familiar,19,1,6,6,2,3,2,1,5,3,2,5,6,5,4,5,4,2,4,6,5
181,flute,Yes,Very familiar,18,1,6,7,4,6,2,1,7,2,4,2,5,6,7,3,5,4,7,7,4
182,flute,Yes,Extremely familiar,19,3,7,5,5,1,1,1,7,2,1,7,7,6,5,4,2,1,6,6,7
190,flute,No,Very familiar,19,1,7,6,2,1,2,1,7,4,1,6,5,4,5,4,2,4,5,5,3
195,flute,Yes,Very familiar,18,1,5,5,5,5,6,2,6,4,4,6,6,5,6,3,2,2,5,5,6
196,flute,Yes,Extremely familiar,18,1,5,5,1,1,5,1,6,1,1,3,7,4,6,4,5,1,3,6,7
198,flute,No,Moderately familiar,19,1,4,5,5,4,6,2,3,4,5,2,5,7,2,5,5,3,4,5,4
201,flute,No,Very familiar,19,1,5,1,4,1,1,1,7,1,1,1,7,1,6,1,1,1,7,7,4
203,flute,No,Extremely familiar,19,1,7,7,7,1,1,1,7,1,1,7,7,1,7,1,2,1,7,7,7
205,flute,Yes,Extremely familiar,19,1,7,3,6,1,1,1,7,1,1,1,7,3,7,4,1,2,7,4,4
211,flute,No,Very familiar,18,1,4,2,3,3,4,1,6,4,2,3,5,7,4,4,1,2,5,5,5
215,flute,No,Extremely familiar,19,3,5,5,2,2,4,2,6,1,2,5,2,7,4,6,1,2,3,7,7
216,flute,No,Very familiar,16,1,5,3,1,1,3,1,3,4,1,5,1,7,3,5,3,3,7,4,1
217,flute,No,Very familiar,19,1,7,7,1,1,5,1,6,1,1,5,6,6,6,6,2,2,3,6,4
219,flute,Yes,Extremely familiar,19,1,7,6,3,1,1,1,6,1,1,2,7,5,4,2,3,5,5,5,3
223,flute,No,Extremely familiar,19,1,4,4,4,1,3,4,7,2,1,2,7,5,5,4,1,1,4,5,3
224,flute,No,Extremely familiar,19,1,5,6,2,1,5,2,6,2,1,5,6,4,6,2,1,1,4,4,6
230,flute,No,Extremely familiar,18,1,6,6,3,1,2,1,5,1,1,5,5,5,5,5,3,2,5,6,3
240,flute,Yes,Extremely familiar,19,2,7,3,6,3,5,3,7,1,1,2,7,5,7,3,1,1,4,4,5
2,piccolo,No,Moderately familiar,17,1,3,3,5,3,7,3,4,2,1,6,4,2,5,2,2,1,4,3,5
3,piccolo,No,Extremely familiar,19,1,5,5,1,2,3,2,6,2,2,5,7,5,6,5,3,3,6,5,2
6,piccolo,No,Extremely familiar,19,1,2,1,7,1,6,6,7,5,1,2,5,2,6,4,3,2,3,3,7
7,piccolo,No,Extremely familiar,19,1,1,1,7,3,7,5,1,7,1,1,7,7,2,1,1,1,4,1,7
9,piccolo,No,Moderately familiar,18,1,3,3,7,3,7,1,7,1,1,7,7,5,7,4,1,1,7,3,7
11,piccolo,No,Extremely familiar,19,1,1,1,4,3,6,3,6,1,1,7,6,1,4,1,1,1,1,3,7
12,piccolo,No,Moderately familiar,19,1,1,1,6,4,7,5,5,4,3,1,2,2,1,1,5,1,1,6,7
13,piccolo,No,Extremely familiar,19,1,3,2,1,1,7,4,6,4,1,6,5,4,7,5,1,2,5,2,6
21,piccolo,No,Extremely familiar,17,5,3,2,7,6,5,1,5,1,1,5,7,5,4,1,1,1,5,2,5
26,piccolo,Yes,Very familiar,18,1,5,4,5,4,6,3,6,5,4,4,7,2,4,2,6,1,4,4,7
27,piccolo,No,Extremely familiar,19,1,5,1,1,4,6,1,3,2,3,1,5,5,5,3,2,1,4,2,2
30,piccolo,No,Moderately familiar,16,1,2,2,4,3,6,3,5,5,2,4,4,6,5,2,2,1,4,2,4
31,piccolo,No,Moderately familiar,17,1,2,3,2,3,6,5,6,3,2,2,5,5,3,2,2,4,3,2,5
32,piccolo,No,Extremely familiar,19,1,3,3,7,2,7,5,5,5,1,7,5,7,7,4,1,2,7,3,4
33,piccolo,Yes,Extremely familiar,19,1,4,3,1,2,3,5,7,1,1,1,7,1,3,4,6,1,5,6,7
36,piccolo,No,Extremely familiar,19,1,2,2,4,2,7,2,4,4,6,3,6,5,3,4,1,1,2,3,6
41,piccolo,No,Very familiar,18,1,3,2,5,4,7,2,5,1,1,2,2,2,1,4,1,2,5,2,4
45,piccolo,Yes,Extremely familiar,19,1,4,5,7,3,7,3,6,5,2,3,7,4,6,5,3,1,4,6,5
50,piccolo,No,Extremely familiar,19,1,4,3,7,1,7,5,7,1,1,5,6,6,6,7,1,1,6,7,7
52,piccolo,No,Extremely familiar,19,1,5,6,7,5,3,3,7,5,1,3,7,3,5,1,3,1,4,3,7
53,piccolo,No,Extremely familiar,19,1,1,1,7,1,7,1,7,5,4,7,7,2,7,1,4,1,7,7,2
55,piccolo,No,Moderately familiar,17,1,4,3,5,3,5,1,4,5,1,5,7,3,6,4,1,2,5,5,5
56,piccolo,No,Extremely familiar,19,1,4,5,7,2,7,1,7,3,1,1,6,4,4,4,2,1,3,3,5
59,piccolo,No,Very familiar,18,1,1,1,7,1,6,5,6,2,1,3,6,5,5,5,5,1,4,1,4
60,piccolo,No,Moderately familiar,18,1,2,2,5,5,5,1,6,5,1,3,2,5,1,5,1,2,5,2,6
62,piccolo,No,Very familiar,18,1,1,4,7,1,7,1,5,1,1,1,6,4,1,6,6,2,6,4,6
64,piccolo,No,Extremely familiar,19,1,6,1,5,1,5,1,7,1,1,1,7,4,3,1,5,2,7,7,7
65,piccolo,No,Extremely familiar,19,1,1,1,6,1,7,2,7,1,1,5,7,1,7,1,1,1,6,3,7
69,piccolo,No,Very familiar,18,1,1,4,5,5,7,2,6,6,1,1,7,3,5,1,1,1,6,4,7
70,piccolo,No,Very familiar,18,1,1,1,6,6,7,4,6,5,1,5,6,6,5,6,1,2,4,3,7
72,piccolo,No,Extremely familiar,19,1,1,1,7,2,7,2,5,2,2,1,4,7,5,5,1,1,7,6,3
74,piccolo,No,Extremely familiar,19,1,4,5,6,1,6,3,7,6,1,5,6,4,6,5,4,4,6,5,6
75,piccolo,No,Moderately familiar,16,1,4,4,6,2,6,1,7,6,1,1,5,5,3,4,1,2,6,3,5
77,piccolo,Yes,Extremely familiar,19,1,1,1,7,7,7,1,7,7,1,7,7,1,7,7,1,1,7,1,7
79,piccolo,No,Extremely familiar,19,1,1,6,7,7,7,4,7,1,1,3,7,7,7,2,1,1,7,6,7
84,piccolo,No,Extremely familiar,18,1,1,1,7,1,7,1,7,7,1,7,7,1,7,1,1,1,1,1,7
86,piccolo,No,Very familiar,18,1,5,6,6,1,5,2,6,3,2,2,7,6,6,5,4,2,5,6,4
94,piccolo,No,Very familiar,17,1,7,1,1,1,1,1,7,4,1,3,5,7,6,3,1,1,7,5,2
95,piccolo,No,Very familiar,18,1,2,1,7,7,7,3,3,6,1,3,6,3,4,2,1,1,2,6,6
98,piccolo,No,Extremely familiar,19,1,2,6,6,2,7,3,6,2,1,1,7,5,2,1,1,2,3,2,6
99,piccolo,No,Very familiar,18,1,1,1,7,1,7,2,7,4,1,1,7,5,4,6,1,1,4,6,7
104,piccolo,No,Very familiar,18,1,5,5,5,5,6,3,6,5,2,3,5,5,6,4,4,1,7,5,6
105,piccolo,No,Very familiar,18,2,5,4,5,2,6,1,6,2,2,4,7,3,2,5,2,2,5,6,5
106,piccolo,No,Moderately familiar,18,1,4,6,5,1,2,1,7,1,1,1,6,5,1,1,1,1,2,6,6
118,piccolo,No,Very familiar,16,1,1,2,7,2,7,1,6,1,1,3,6,2,5,2,1,1,4,2,5
120,piccolo,Yes,Very familiar,18,1,2,5,5,3,6,2,7,7,1,4,7,7,2,5,2,1,3,4,6
123,piccolo,No,Very familiar,17,1,5,5,6,4,5,6,6,2,2,5,5,4,6,2,6,1,5,4,6
124,piccolo,No,Very familiar,17,1,3,4,7,6,6,5,6,2,1,1,5,5,5,5,5,1,4,5,2
127,piccolo,No,Moderately familiar,17,2,2,2,4,4,7,1,5,2,1,2,4,3,3,3,4,2,3,5,5
130,piccolo,No,Extremely familiar,19,1,1,1,7,1,7,1,7,4,1,1,7,5,1,3,1,1,4,2,7
131,piccolo,No,Moderately familiar,18,1,3,6,6,5,7,2,7,5,1,2,7,6,7,1,1,1,5,3,3
134,piccolo,No,Extremely familiar,19,1,1,1,1,1,5,1,7,6,1,1,7,3,2,4,1,1,2,7,4
136,piccolo,No,Extremely familiar,19,1,1,4,6,6,7,1,5,6,5,2,7,3,6,4,5,1,2,2,2
139,piccolo,No,Very familiar,17,1,3,3,7,5,7,4,5,1,3,1,7,4,4,3,3,1,5,4,6
146,piccolo,No,Moderately familiar,18,1,4,1,1,2,1,1,6,1,1,2,5,6,3,2,6,1,6,5,3
161,piccolo,No,Extremely familiar,19,1,3,3,5,2,7,2,4,4,4,2,7,6,6,3,2,1,6,3,3
167,piccolo,No,Moderately familiar,19,1,6,1,1,1,4,1,7,6,1,6,7,5,7,1,1,1,3,6,5
174,piccolo,No,Moderately familiar,18,1,1,1,7,7,7,1,6,6,1,7,5,6,4,1,1,1,1,5,7
176,piccolo,Yes,Extremely familiar,19,1,6,4,7,5,7,3,7,6,1,5,7,5,7,1,2,2,5,5,3
177,piccolo,No,Very familiar,17,1,5,6,7,5,7,3,6,4,1,1,6,5,1,5,1,1,4,1,6
178,piccolo,No,Moderately familiar,16,1,2,1,6,6,7,1,7,6,1,5,7,7,2,5,4,1,5,4,5
179,piccolo,No,Very familiar,16,1,1,1,5,2,7,1,7,6,2,1,7,4,6,1,1,1,2,2,5
180,piccolo,No,Very familiar,18,1,6,6,5,1,5,5,7,5,2,5,7,4,6,2,1,1,5,6,5
184,piccolo,No,Very familiar,18,1,5,6,7,6,7,1,7,6,5,2,7,5,5,3,3,1,6,4,6
186,piccolo,No,Moderately familiar,16,2,3,2,7,5,6,5,7,3,1,2,3,4,3,4,3,1,4,3,7
193,piccolo,No,Very familiar,19,1,2,1,4,1,6,5,7,1,1,4,5,5,2,1,1,1,1,2,7
194,piccolo,No,Very familiar,19,1,1,1,7,1,7,1,4,7,1,1,7,6,7,1,2,1,7,5,1
195,piccolo,No,Moderately familiar,16,1,2,3,7,2,7,2,5,6,3,6,7,4,6,2,2,1,5,5,6
196,piccolo,Yes,Extremely familiar,18,1,1,4,7,1,7,1,7,1,1,7,6,2,6,1,5,1,4,1,6
199,piccolo,No,Very familiar,18,2,1,3,6,5,7,3,5,4,2,5,6,4,4,4,2,2,4,4,6
203,piccolo,No,Extremely familiar,19,1,2,1,7,1,7,7,7,6,1,2,7,6,7,1,4,2,4,6,7
212,piccolo,No,Extremely familiar,19,1,1,3,6,4,5,1,6,4,1,1,7,5,5,4,1,1,5,1,7
213,piccolo,No,Very familiar,18,1,2,2,2,5,5,5,5,1,2,2,5,5,2,3,3,1,1,4,5
216,piccolo,No,Moderately familiar,19,1,6,2,6,5,5,1,7,7,1,6,6,7,4,4,1,1,7,3,1
220,piccolo,Yes,Extremely familiar,19,1,2,1,7,3,7,1,7,1,1,2,7,1,5,1,1,1,2,2,7
221,piccolo,No,Very familiar,19,1,3,2,3,5,6,3,5,2,3,2,6,6,3,6,3,2,5,3,6
225,piccolo,No,Very familiar,17,1,1,3,6,3,5,3,6,4,2,2,7,4,5,1,3,1,3,4,6
228,piccolo,No,Very familiar,18,1,1,5,7,1,5,1,6,1,1,1,7,3,7,3,4,1,5,3,7
229,piccolo,No,Extremely familiar,19,1,1,1,7,1,7,5,7,1,2,1,7,7,4,1,5,1,6,6,7
230,piccolo,No,Extremely familiar,18,1,5,4,5,3,3,1,6,2,1,6,6,5,6,6,2,2,5,6,6
233,piccolo,Yes,Extremely familiar,19,1,5,6,7,1,7,1,7,1,1,5,7,7,7,5,5,1,6,6,7
240,piccolo,Yes,Extremely familiar,19,1,5,2,7,4,7,3,6,5,1,6,6,4,4,4,3,1,3,6,4
241,piccolo,Yes,Extremely familiar,19,1,4,5,7,1,7,1,7,1,1,5,7,2,4,3,4,1,7,7,5
3,clarinet,No,Moderately familiar,18,3,5,5,3,4,3,2,5,3,2,5,2,5,5,4,4,3,5,5,4
5,clarinet,No,Very familiar,18,3,6,2,1,2,3,1,5,1,2,1,1,3,4,1,3,1,7,3,2
10,clarinet,No,Extremely familiar,19,1,6,1,4,1,1,1,7,1,1,2,1,2,7,3,5,2,7,5,6
11,clarinet,No,Extremely familiar,19,1,6,3,1,1,1,1,7,1,4,2,1,4,3,1,5,1,6,2,5
13,clarinet,No,Very familiar,18,1,4,7,2,7,1,2,5,1,3,1,1,3,3,5,7,5,5,3,6
15,clarinet,No,Extremely familiar,19,1,6,3,2,3,1,1,6,1,1,4,4,6,4,1,2,1,6,3,5
